Name,Category,Subcategory,Filename,Size (MB),Full Path
ADL.RealiSimHQ Skins and Rim Pack,,,ADL.RealiSimHQ Skins and Rim Pack.7z,2260.8,Assetto Corsa/Parts/ADL.RealiSimHQ Skins and Rim Pack.7z
ADL.RealiSimHQ Tire and Rim Pack,,,ADL.RealiSimHQ Tire and Rim Pack.7z,1841.8,Assetto Corsa/Parts/ADL.RealiSimHQ Tire and Rim Pack.7z
